category,cluster,report_count
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,0,247
INTEGRIDADE > NEGLIGÊNCIA,0,835748
INTEGRIDADE > FÍSICA,1,1100754
INTEGRIDADE > PATRIMONIAL,1,200197
INTEGRIDADE > PSÍQUICA,1,1121598
LIBERDADE > SEXUAL,1,147380
VIDA > ABORTO,2,393
VIDA > HOMICÍDIO,2,1517
VIDA > AUTOMUTILAÇAO,3,1322
VIDA > INCITAÇÃO AO SUICÍDIO,3,1954
VIDA > SUICÍDIO,3,1292
VIDA > FEMINICÍDIO,4,343
VIOLÊNCIA INSTITUCIONAL,4,12482
VIOLÊNCIA INSTITUCIONAL > EM RAZÃO DE SER POLICIAL/MILITAR/DEMAIS AGENTE DE SEGURANÇA PÚBLICA,4,2792
