,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.8011969815248504,0.8043195420244601,0.8009322731011791,0.8088840142582945,0.7913353441184535,0.7791345898593045,0.8009322731011791,0.7979160954208939,0.7751576638332877,0.8142076502732241,0.7808367071524966,0.7873639500929122,0.7844803948450781,0.7975708502024291,0.7871454592766068,0.7775205761316872,0.788691266259623,0.7937921727395412,0.789401802786124,0.7958141909137315,0.7765286536879628,0.746790494400437,0.7713900134952767,0.7708446866485014,0.7762144942925405,0.803778677462888,0.7981425839934444,0.7845433255269321,0.7840228987769972
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.8011969815248504,0.0,0.7493455497382199,0.7575261780104712,0.7521035598705501,0.7743732590529248,0.7873353880638835,0.7644216248867411,0.7741632780731936,0.7870967741935484,0.7622730329522529,0.8080453563714903,0.8006756756756757,0.7917507931929623,0.7867557715674363,0.7781885397412199,0.7942622950819672,0.7777119146413752,0.7937743190661478,0.7792487684729064,0.8078994614003591,0.7861870503597123,0.7831031681559708,0.7805786307648238,0.80703125,0.7750669443617971,0.7631067961165049,0.7659359190556493,0.7638717632552404,0.771542471634468
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.8043195420244601,0.7493455497382199,0.0,0.7446880269814502,0.7402337228714524,0.7737030411449016,0.7762857142857142,0.7635609444798979,0.7629027213012199,0.7884880198292481,0.752856676460986,0.8032223983095615,0.7990033222591362,0.7911960613958876,0.7872656947337102,0.7730769230769231,0.7893442622950819,0.7829139847864248,0.7897182689514958,0.7840562003665241,0.8032663316582914,0.7825492341356673,0.793122122935283,0.7849045346062052,0.7862635905595333,0.7675409836065574,0.7555926544240401,0.7461669505962522,0.7656597774244833,0.760525530008958
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.8009322731011791,0.7575261780104712,0.7446880269814502,0.0,0.7440838404327248,0.7796657381615599,0.7853740543569627,0.7663241630759032,0.7689728741237427,0.7794698251551043,0.7526369513439946,0.8104751619870411,0.8091216216216216,0.7991742848717193,0.7973817316274918,0.7803450400492914,0.7926229508196722,0.8002286367533581,0.7987051206592113,0.798452112221864,0.801174068402246,0.782158273381295,0.7806993765248035,0.7748496132913205,0.7928931317952798,0.7566200535554894,0.7328836424957842,0.7467326033203815,0.7670933499843896,0.7623197115384616
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.8088840142582945,0.7521035598705501,0.7402337228714524,0.7440838404327248,0.0,0.7837284167398303,0.790273556231003,0.7648372686662412,0.779746835443038,0.7868162692847125,0.7658355795148248,0.809297411516112,0.8052675819557299,0.7955223880597015,0.7947508109702153,0.7784966112138016,0.8073849545329291,0.7867962274935696,0.7966450853443202,0.7813446396123561,0.8114901256732495,0.7833093525179856,0.7717303005686433,0.7786839145106862,0.8019073569482289,0.7590600226500567,0.7495711835334476,0.7499138821908371,0.7592478421701603,0.7575395640489698
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.7913353441184535,0.7743732590529248,0.7737030411449016,0.7796657381615599,0.7837284167398303,0.0,0.7808910058840011,0.7755340942347088,0.7787716159809183,0.7759562841530054,0.7896983494593056,0.7950343370311674,0.7904174838890445,0.7894584419345496,0.7969359331476323,0.7778753292361721,0.7907103825136612,0.7879908935685828,0.7961859356376639,0.7829457364341085,0.7978560490045942,0.7770538243626063,0.7501403705783268,0.7688652878703186,0.7917744438696327,0.7571385632702134,0.780282536819958,0.7808836789900812,0.7587954680977936,0.7584973166368515
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.7791345898593045,0.7873353880638835,0.7762857142857142,0.7853740543569627,0.790273556231003,0.7808910058840011,0.0,0.793036750483559,0.7923788175959653,0.7685834502103787,0.798,0.7873015873015873,0.7901372933594845,0.7694421544380324,0.7883393202542138,0.7824033067611456,0.7743351407177899,0.7706524782973957,0.7960212944802466,0.7897209173804919,0.7853295716850475,0.7782767330900926,0.760628215542919,0.7765869744435284,0.7735323886639676,0.7730456710563183,0.7725714285714286,0.7814513869431213,0.7905714285714286,0.7577142857142857
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.8009322731011791,0.7644216248867411,0.7635609444798979,0.7663241630759032,0.7648372686662412,0.7755340942347088,0.793036750483559,0.0,0.7677537336177994,0.7796951394880645,0.7603701340140395,0.8060846560846561,0.8042635658914729,0.7950457092303156,0.8000589796520201,0.771594953089615,0.7972677595628416,0.7788180222352252,0.7931135962330783,0.7882814859559045,0.7994357527571172,0.775070821529745,0.7584619550500947,0.7761529808773904,0.7918324051975604,0.7398074745186863,0.7463976945244957,0.7561738043138481,0.7610974106041923,0.7513337285121517
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.7979160954208939,0.7741632780731936,0.7629027213012199,0.7689728741237427,0.779746835443038,0.7787716159809183,0.7923788175959653,0.7677537336177994,0.0,0.7780597856739989,0.7598101265822785,0.8007936507936508,0.7945736434108527,0.7826865671641791,0.7913646391427671,0.7711063700091435,0.7874316939890711,0.7775449101796407,0.7887365911799762,0.7830217591173766,0.7982412060301508,0.7732248105529048,0.7598265112496612,0.7750596658711217,0.7825510474675152,0.7518950437317784,0.7691585861745386,0.7762877171594026,0.763181956720512,0.7555620608899297
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.7751576638332877,0.7870967741935484,0.7884880198292481,0.7794698251551043,0.7868162692847125,0.7759562841530054,0.7685834502103787,0.7796951394880645,0.7780597856739989,0.0,0.7985974754558205,0.7918678526048285,0.7882120699379582,0.7758193335169374,0.8008415147265077,0.7911054637865311,0.7882126136050674,0.785133239831697,0.7896221094190637,0.7924421883812747,0.7781672508763144,0.7789934354485777,0.7579203899268887,0.7835307077939961,0.7817438692098093,0.7694849903607821,0.7952314165497896,0.7854137447405329,0.790468133107727,0.7777471770862021
