,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.7918837400603236,0.81683575541541,0.8009322731011791,0.8088840142582945,0.7913353441184535,0.7858513846997532,0.8009322731011791,0.7979160954208939,0.7751576638332877,0.8105292020839046,0.7966191230850502,0.7899643542637784,0.7844803948450781,0.8160131615026048,0.7836578009322731,0.784952120383037,0.7957225116534138,0.7828352070194681,0.7946257197696737,0.7981533726596564,0.7765286536879628,0.7527755212564311,0.7721414861530025,0.7995951417004049,0.7800932273101179,0.8075130244036194,0.8250616945434603,0.8012064710721141,0.8031258568686592
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.7918837400603236,0.0,0.7394822006472492,0.7576051779935276,0.7521035598705501,0.772510435301133,0.7889530090684254,0.7644216248867411,0.7495145631067961,0.7805978567399887,0.7676375404530744,0.8077126254622292,0.7957827845176199,0.7949609035621199,0.7938859123857548,0.7632864996945632,0.7868673050615596,0.7767700409596255,0.7819305473808122,0.7792487684729064,0.8078994614003591,0.7759206798866856,0.7831031681559708,0.7619331742243437,0.8071862348178138,0.7754813137032842,0.7631067961165049,0.7611650485436893,0.7627224477052763,0.771542471634468
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.81683575541541,0.7394822006472492,0.0,0.7542570951585976,0.7402337228714524,0.7737030411449016,0.7906018136850783,0.772576260948354,0.7533974146503148,0.7913141567963903,0.752856676460986,0.8032223983095615,0.792316580011554,0.7911960613958876,0.7938859123857548,0.7642028100183262,0.8,0.7829139847864248,0.7807533843437316,0.7903325123152709,0.8058476532444216,0.7634560906515581,0.793122122935283,0.7849045346062052,0.8006072874493927,0.7565118912797282,0.7555926544240401,0.7552587646076795,0.7730252887917577,0.7709291628334867
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.8009322731011791,0.7576051779935276,0.7542570951585976,0.0,0.7368782161234991,0.7880143112701252,0.7826325913712558,0.7701600724856539,0.7663241630759032,0.7794698251551043,0.7593862226575253,0.8140517696777602,0.8105141536683997,0.792354474370113,0.791994957453514,0.7532070861331704,0.7948016415868673,0.7937390286717378,0.7987051206592113,0.7804802955665024,0.8084124134393434,0.7827195467422097,0.7744381261846737,0.7687947494033412,0.8006072874493927,0.7633069082672707,0.7499142367066896,0.7543739279588336,0.7670933499843896,0.7856485740570377
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.8088840142582945,0.7521035598705501,0.7402337228714524,0.7368782161234991,0.0,0.7844364937388193,0.795273426765595,0.7701600724856539,0.7497514086841233,0.790468133107727,0.7682011100228534,0.809297411516112,0.8044482957827845,0.7938024905878945,0.791994957453514,0.7651191203420892,0.7879616963064295,0.791398478642481,0.7966450853443202,0.7854064039408867,0.8114901256732495,0.7790368271954674,0.7717303005686433,0.7759546539379475,0.8104757085020243,0.7590600226500567,0.7495711835334476,0.7492281303602059,0.764595691539182,0.7568230604109168
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.7913353441184535,0.772510435301133,0.7737030411449016,0.7880143112701252,0.7844364937388193,0.0,0.7949986259961528,0.7701252236135957,0.7787716159809183,0.7746756909193457,0.785629099582588,0.7950343370311674,0.7949162333911034,0.7894584419345496,0.8118664281454979,0.7558139534883721,0.7794801641586867,0.7773551784669397,0.7816362566215421,0.7829457364341085,0.8014875609130546,0.7770538243626063,0.7587327376116978,0.7742993440667859,0.798582995951417,0.7548131370328426,0.772510435301133,0.7757901013714967,0.7587954680977936,0.7584973166368515
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.7858513846997532,0.7889530090684254,0.7906018136850783,0.7826325913712558,0.795273426765595,0.7949986259961528,0.0,0.7941742236878263,0.7919758175322891,0.7793349821379499,0.8032426490794174,0.783676703645008,0.7875790052212146,0.7694421544380324,0.8156086837043144,0.766968947513053,0.7641586867305061,0.7672437482824952,0.8004946413849959,0.7949986259961528,0.7853295716850475,0.7666941467436109,0.760628215542919,0.7765869744435284,0.7735323886639676,0.7548777136575983,0.7782357790601814,0.790052212146194,0.7941742236878263,0.7884034075295411
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.8009322731011791,0.7644216248867411,0.772576260948354,0.7701600724856539,0.7701600724856539,0.7701252236135957,0.7941742236878263,0.0,0.7765025672002416,0.787366046249295,0.759589247961341,0.8013734812466984,0.8044482957827845,0.7813495511149725,0.8094231350045303,0.7438840229537904,0.7800273597811217,0.7788180222352252,0.7931135962330783,0.7882814859559045,0.7994357527571172,0.775070821529745,0.7584619550500947,0.7690930787589498,0.7892206477732794,0.7398074745186863,0.7432799758381153,0.7644216248867411,0.7629115070975536,0.7620054364240411
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.7979160954208939,0.7495145631067961,0.7533974146503148,0.7663241630759032,0.7497514086841233,0.7787716159809183,0.7919758175322891,0.7765025672002416,0.0,0.7780597856739989,0.7479595168135814,0.8124669836238775,0.8058925476603119,0.789748045178106,0.7913646391427671,0.7635919364691509,0.7934336525307798,0.7773551784669397,0.7992937021777516,0.7897167487684729,0.806360605283406,0.7736543909348442,0.7755212564310858,0.7750596658711217,0.8026315789473685,0.7590600226500567,0.7457739476300961,0.7563805104408353,0.7692788011239463,0.7718491260349586
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.7751576638332877,0.7805978567399887,0.7913141567963903,0.7794698251551043,0.790468133107727,0.7746756909193457,0.7793349821379499,0.787366046249295,0.7780597856739989,0.0,0.7828539199097575,0.7921288959323824,0.7882120699379582,0.7721376198533559,0.8214890016920474,0.766497461928934,0.7611491108071136,0.7642413987591653,0.7896221094190637,0.7924421883812747,0.7807130033341882,0.7526790750141004,0.7579203899268887,0.7853919909757473,0.7828947368421053,0.742526790750141,0.7701635645798083,0.7842639593908629,0.790468133107727,0.7831359278059785
LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,0.8105292020839046,0.7676375404530744,0.752856676460986,0.7593862226575253,0.7682011100228534,0.785629099582588,0.8032426490794174,0.759589247961341,0.7479595168135814,0.7828539199097575,0.0,0.8211833069202324,0.8032928942807626,0.7859832030118737,0.8020800504254648,0.7709224190592547,0.7967168262653899,0.7615564657694558,0.7998822836962919,0.7900246305418719,0.8012310848935624,0.7852691218130312,0.7738965610614676,0.7732696897374701,0.8003542510121457,0.7516987542468856,0.7349004244205027,0.7411034933072151,0.7661567280674367,0.7537565164060104
INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,0.7966191230850502,0.8077126254622292,0.8032223983095615,0.8140517696777602,0.809297411516112,0.7950343370311674,0.783676703645008,0.8013734812466984,0.8124669836238775,0.7921288959323824,0.8211833069202324,0.0,0.7945060750132066,0.7709984152139461,0.8306920232435288,0.7868462757527733,0.7746962493396725,0.806391970417327,0.7968832540940306,0.7847332276809298,0.7953321364452424,0.7905441098784998,0.7501320655044902,0.7995245641838352,0.7889676113360324,0.7741679873217115,0.8185419968304279,0.8029582673005811,0.8188061278394083,0.8055995773903857
INTEGRIDADE > FÍSICA > LESÃO CORPORAL,0.7899643542637784,0.7957827845176199,0.792316580011554,0.8105141536683997,0.8044482957827845,0.7949162333911034,0.7875790052212146,0.8044482957827845,0.8058925476603119,0.7882120699379582,0.8032928942807626,0.7945060750132066,0.0,0.7744078567302137,0.8151357596764875,0.7686308492201039,0.772640218878249,0.7946273830155979,0.7963604852686309,0.7694974003466204,0.7927673762503206,0.7713881019830028,0.752233956133225,0.7744078567302137,0.7740384615384616,0.7763306908267271,0.7960716348931254,0.8004043905257077,0.7830733679953784,0.8004043905257077
INTEGRIDADE > FÍSICA > MAUS TRATOS,0.7844803948450781,0.7949609035621199,0.7911960613958876,0.792354474370113,0.7938024905878945,0.7894584419345496,0.7694421544380324,0.7813495511149725,0.789748045178106,0.7721376198533559,0.7859832030118737,0.7709984152139461,0.7744078567302137,0.0,0.8114682884448305,0.7865624094989864,0.7841313269493844,0.8105994787141616,0.8077034462785984,0.7865624094989864,0.8017440369325468,0.7883852691218131,0.776875169239101,0.7955401100492325,0.8001012145748988,0.7986976217440543,0.8085722560092673,0.8181291630466261,0.8010425716768028,0.8088618592528236
INTEGRIDADE > FÍSICA > TORTURA FÍSICA,0.8160131615026048,0.7938859123857548,0.7938859123857548,0.791994957453514,0.791994957453514,0.8118664281454979,0.8156086837043144,0.8094231350045303,0.7913646391427671,0.8214890016920474,0.8020800504254648,0.8306920232435288,0.8151357596764875,0.8114682884448305,0.0,0.7663408674404398,0.7775649794801641,0.7937390286717378,0.8051795173631549,0.7641625615763546,0.7927673762503206,0.7813031161473087,0.7657730842133766,0.7535799522673031,0.7909919028340081,0.7831257078142695,0.7819098644815632,0.7907343208320202,0.7767717764595692,0.7939282428702852
INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,0.7836578009322731,0.7632864996945632,0.7642028100183262,0.7532070861331704,0.7651191203420892,0.7558139534883721,0.766968947513053,0.7438840229537904,0.7635919364691509,0.766497461928934,0.7709224190592547,0.7868462757527733,0.7686308492201039,0.7865624094989864,0.7663408674404398,0.0,0.8093023255813954,0.8010532475131656,0.8195997645673926,0.7816127061698228,0.8171325981020775,0.7926345609065156,0.7923097752504739,0.785799522673031,0.812753036437247,0.7763306908267271,0.7843616371411118,0.7962736713500306,0.8026878436163715,0.7901649358582773
