category,support
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,98
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,98
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,98
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,98
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,98
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,98
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,98
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,98
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,98
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,98
LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,98
INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,98
INTEGRIDADE > FÍSICA > LESÃO CORPORAL,98
INTEGRIDADE > FÍSICA > MAUS TRATOS,98
INTEGRIDADE > FÍSICA > TORTURA FÍSICA,98
INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,98
INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,98
INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,98
INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,98
INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,98
INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,98
INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),98
INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,98
LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,98
LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,98
LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,98
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,98
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,98
VIDA > FEMINICÍDIO,98
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,98
