,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.9994343667643338,0.9993703963388716,0.9993552454486305,0.9993703963388716,0.9993207350875258,0.9991793267786093,0.9993619791776265,0.9994208993063417,0.9992163622880874,0.9993266271003973,1.0000132303244076,0.9997595934343213,0.9998310481451264,0.9992853830102967,0.9994208993063417,0.9997530538055557,0.9994141655773457,0.9999438390906124,0.9993880723774861,0.9999292975812267,0.9992584480943126,0.9999000532480818,0.9992685486878067,0.9993022173327868,0.999369554622747,0.9994049066999762,0.9994225827385907,0.9994352084804583,0.999374604919494
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.9994343667643338,0.0,0.9987717652815724,0.9987782897687885,0.9988353790319292,0.9987831831342006,0.9987521918199241,0.9987277249928639,0.9990912911952925,0.9989153040003262,0.9988076499612608,0.9999697592584971,0.9997678477370056,0.9998401582941636,0.9993398971832957,0.9988386412755372,0.999803400200237,0.9988533213717734,0.9999383906441792,0.9990490559882559,0.999957518504219,0.9988826815642458,0.9998734462629295,0.9989479264364066,0.9988549524935775,0.9988631081025976,0.998898992782286,0.998972393263467,0.9989218284875423,0.9988663703462056
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.9993703963388716,0.9987717652815724,0.0,0.9961811238406983,0.9963418673525056,0.9983876682831917,0.9978580449312435,0.9982192929898143,0.9989225732738972,0.9987360823834881,0.9964831268022757,0.9998998275437714,0.9996847888162453,0.9999103182731133,0.9992966490677185,0.9964539007092199,0.999844557899311,0.9985334867702227,0.9999301131967135,0.9987971487701663,0.9999040788840846,0.9988135396885015,0.9997857796580047,0.9986256535230026,0.9963516093835243,0.9965854181279713,0.9968776790585301,0.9967607746863066,0.9967315485932507,0.9966146442210272
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.9993552454486305,0.9987782897687885,0.9961811238406983,0.0,0.9813567211347657,0.9983205751558343,0.997380427043135,0.9980946674655482,0.9989802925627956,0.9987431237072569,0.9805727724834024,1.0000867321266718,0.9999066232008844,0.9998523445974213,0.9992112909448689,0.983071608809623,0.9997729626460381,0.9987245904772192,0.9999639564312885,0.9989570444019268,0.9999339510312946,0.9988591727774053,1.000017055759713,0.9985548109210955,0.9820916729954188,0.9923016688192163,0.9827286312746515,0.9821896665768393,0.982826624856072,0.9810382419951493
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.9993703963388716,0.9988353790319292,0.9963418673525056,0.9813567211347657,0.0,0.998536531159516,0.9977379079164432,0.9981593768723787,0.9990424517969939,0.9989068344848832,0.9153323349844488,1.0001207529608627,0.9999654351075097,0.9998881936254512,0.999264782035188,0.9364253183381355,0.9998005287328597,0.9988284511875434,0.9999873218842614,0.9991205740253181,0.9999040788840846,0.9990487256082364,1.0000590129286069,0.9987653146524765,0.9804845595165493,0.9924033640792003,0.915193912616593,0.9085665193912617,0.9161757486499754,0.9056210112911144
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.9993207350875258,0.9987831831342006,0.9983876682831917,0.9983205751558343,0.998536531159516,0.0,0.9985029845958373,0.9985784643641143,0.9990912911952925,0.9989121154777099,0.9985029845958373,1.0000886221730156,0.9999721417284406,0.9998812131216435,0.9994047693566616,0.9985784643641143,0.9997771741315247,0.9988367600443693,0.9999464585360129,0.9991260250127644,0.9999222423504787,0.9989995822817247,1.0000092101102451,0.9987349535373735,0.998614107588023,0.9983918616036516,0.9984715346923885,0.9984107315457208,0.9984673413719286,0.9983331551172138
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.9991793267786093,0.9987521918199241,0.9978580449312435,0.997380427043135,0.9977379079164432,0.9985029845958373,0.0,0.9983031755542241,0.9990498517058269,0.9987167187431237,0.9977847906539263,1.0000842120648799,0.9999236477001707,0.9998792017900378,0.9994036312483568,0.9978609751023362,0.9997434822476315,0.9987225132630128,0.999971186100594,0.9991478289625499,0.9999256949102064,0.9988451318269733,0.9999778275123731,0.9986013646309202,0.9978990673265412,0.9976998156922383,0.9976998156922383,0.9977554889429994,0.9979107880109119,0.9978082320226678
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.9993619791776265,0.9987277249928639,0.9982192929898143,0.9980946674655482,0.9981593768723787,0.9985784643641143,0.9983031755542241,0.0,0.9990764913776262,0.9990177353342429,0.9983031755542241,1.0001220129917585,0.9999546013352366,0.9998891401344422,0.99927502500993,0.9983295386458958,0.9997850228090225,0.9986996639067414,0.9999829212159884,0.9991042210629789,0.9998979243210917,0.9991206854792001,1.0000545784310817,0.99879972391626,0.9984517675254644,0.9984613541042541,0.9983678849610546,0.9981737567405632,0.998415817855003,0.9983559017375674
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.9994208993063417,0.9990912911952925,0.9989225732738972,0.9989802925627956,0.9990424517969939,0.9990912911952925,0.9990498517058269,0.9990764913776262,0.0,0.9990794513411595,0.9989270132191972,1.0001058425952605,0.9999865867581381,0.9998930444840296,0.9993876977320916,0.9989447730003966,0.999766645417808,0.9990498517058269,0.9999781014364515,0.9993443680773852,0.9999380040361925,0.9992111697183891,0.9999979533088345,0.9991105309582586,0.998978812581029,0.9989640127633628,0.9988974135838646,0.9989181333285974,0.9989817725445622,0.9988855737297316
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.9992163622880874,0.9989153040003262,0.9987360823834881,0.9987431237072569,0.9989068344848832,0.9989121154777099,0.9987167187431237,0.9990177353342429,0.9990794513411595,0.0,0.9988258592615412,0.999871266843463,0.9996435173028241,0.9999613114449974,0.9992465723023134,0.998929718787132,0.999880546957106,0.9988505038947322,1.00005846602134,0.9990036526867051,0.999865800504494,0.9988854995594652,1.0000770920339028,0.9987642476785635,0.9987765699951591,0.9987853716498701,0.9987748096642168,0.9985688509439775,0.9988857105135766,0.9987396030453726
