left,right,pairwise_cluster_agreement
replicate-001,replicate-002,0.903448275862069
replicate-001,replicate-003,0.9264367816091954
replicate-001,replicate-004,0.9011494252873564
replicate-001,replicate-005,0.9149425287356322
replicate-002,replicate-003,0.9080459770114944
replicate-002,replicate-004,0.9149425287356322
replicate-002,replicate-005,0.896551724137931
replicate-003,replicate-004,0.9057471264367816
replicate-003,replicate-005,0.896551724137931
replicate-004,replicate-005,0.92183908045977
