,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.5615474794841735,0.5687489532741584,0.5717635236978731,0.5705911907553174,0.5518338636744264,0.5367610115558533,0.5602076704069671,0.5473120080388545,0.5357561547479485,0.5767878077373975,0.5584741509118287,0.5493217216546642,0.5616964434797128,0.5538435772902361,0.577122760006699,0.5687489532741584,0.5509964830011723,0.5756154747948418,0.5632222408306816,0.5708562844266399,0.5392731535756154,0.5625104045280506,0.5451348182883939,0.5625523362920783,0.5638921453692849,0.6271981242672919,0.6255233629207838,0.5823145201808743,0.611957796014068
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.5615474794841735,0.0,0.35093984962406016,0.36466165413533835,0.36541353383458647,0.4083618670030636,0.513408010862186,0.35531754979331076,0.39692307692307693,0.5270429654591406,0.3695488721804511,0.5524510624058893,0.5505807103181283,0.5650358991484388,0.5314874219145703,0.418452935694315,0.5625,0.5135727533299612,0.5755794423916695,0.5020891364902507,0.57102320146887,0.5118323191345504,0.5595139004494756,0.5313609467455621,0.4641772378059675,0.4034184892482999,0.5781954887218045,0.5783834586466166,0.39285714285714285,0.5629699248120301
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.5687489532741584,0.35093984962406016,0.0,0.3434673850298249,0.34385222243602076,0.4094431429086322,0.5042430414120842,0.35813603908305147,0.40090497737556563,0.5288963774220724,0.3509717144506446,0.5599799230383136,0.5495707793300791,0.566204708632493,0.5370589228431538,0.41491146318732525,0.5646782841823056,0.5164390490642388,0.5774269398723547,0.48885793871866295,0.5761976297780004,0.5179175118323192,0.561678042284002,0.5310228233305156,0.4707879221011256,0.4039698584818967,0.5674427554358283,0.5664806619203386,0.3702635122138873,0.5507023282663075
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.5717635236978731,0.36466165413533835,0.3434673850298249,0.0,0.32548716959289986,0.41034420616327266,0.5098438560760353,0.35813603908305147,0.3998190045248869,0.5250210614995787,0.335327030677214,0.5603145390664213,0.5502440666554452,0.567373518116547,0.537227756204626,0.39869524697110903,0.568029490616622,0.5132355420671051,0.579106483036614,0.49286211699164345,0.5783675513269905,0.5169033130493577,0.5610121524887631,0.5267962806424344,0.45863855636948364,0.39312626355449365,0.5649237893112097,0.5649237893112097,0.35487593768032316,0.5487169592899865
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.5705911907553174,0.36541353383458647,0.34385222243602076,0.32548716959289986,0.0,0.4126869706253379,0.5095044127630686,0.36039083051484405,0.4034389140271493,0.5307497893850042,0.32046556741028126,0.5544587585745357,0.5517589631375189,0.566872599766238,0.5335134222522371,0.3873252562907735,0.5660187667560321,0.5140785702242455,0.5754114880752436,0.49025069637883006,0.5740277082290102,0.52079107505071,0.5600133177959048,0.5267962806424344,0.45202787207432554,0.39165594559823563,0.5643064985451018,0.5621726479146459,0.3439122908251587,0.54817532342151
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.5518338636744264,0.4083618670030636,0.4094431429086322,0.41034420616327266,0.4126869706253379,0.0,0.5203665987780041,0.4184537754550369,0.4063795278428546,0.5331086773378264,0.4386375923589836,0.5556299146729128,0.5441844807271503,0.5638670896643847,0.5284484214080702,0.4608037484231393,0.5573056300268097,0.5155960209070983,0.5749076251259657,0.5165389972144847,0.57135703555333,0.521974306964165,0.555685034126852,0.5279797125950972,0.48776130069680185,0.42223824112452696,0.5970445125247792,0.5963236619210669,0.43827716705712744,0.5775815462245449
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.5367610115558533,0.513408010862186,0.5042430414120842,0.5098438560760353,0.5095044127630686,0.5203665987780041,0.0,0.537847929395791,0.5257976917854719,0.5192923336141533,0.5471826205023761,0.5593106909820981,0.5495707793300791,0.5663716814159292,0.5429680904946818,0.5463340122199593,0.5646782841823056,0.5336368234699039,0.5710446758481693,0.5317379497623896,0.5668502754131197,0.5211291413116971,0.5565173963709006,0.5352493660185967,0.5322471147318398,0.5390359809911744,0.6220298710115411,0.6194840461642905,0.5504073319755601,0.6065852002715546
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.5602076704069671,0.35531754979331076,0.35813603908305147,0.35813603908305147,0.36039083051484405,0.4184537754550369,0.537847929395791,0.0,0.3958371040723982,0.5181128896377422,0.3752348741074784,0.5576376108415593,0.5512539976434944,0.5713808649190182,0.5373965895660983,0.4164026095060578,0.5640080428954424,0.5145843871185297,0.5794423916694659,0.5111420612813371,0.5756968786513103,0.5182555780933062,0.5585150657566172,0.5283178360101437,0.4707879221011256,0.40268333027017095,0.579293498684705,0.577978203682826,0.3955279969936114,0.5569334836527621
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.5473120080388545,0.39692307692307693,0.40090497737556563,0.3998190045248869,0.4034389140271493,0.4063795278428546,0.5257976917854719,0.3958371040723982,0.0,0.5216512215669755,0.4293212669683258,0.5583068428977748,0.5450260898838579,0.5642010352312573,0.5311497551916259,0.45248868778280543,0.5583109919571045,0.5162704434328107,0.5750755794423916,0.5069637883008357,0.5686863628776498,0.5148749154834348,0.5560179790244715,0.5305156382079459,0.4843666249776666,0.42027149321266966,0.5951131221719457,0.5918552036199095,0.4374660633484163,0.5764705882352941
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.5357561547479485,0.5270429654591406,0.5288963774220724,0.5250210614995787,0.5307497893850042,0.5331086773378264,0.5192923336141533,0.5181128896377422,0.5216512215669755,0.0,0.5627632687447346,0.5604818470804751,0.5495707793300791,0.5655368174987477,0.5489469250210615,0.5607413647851727,0.5705428954423593,0.5430497051390059,0.5707087672153174,0.5435551811288963,0.5680186947087298,0.5342881213142375,0.5595139004494756,0.5371524852569503,0.5492839090143218,0.54743049705139,0.6219039595619208,0.6224094355518113,0.5651221566975568,0.6048862679022746
