category,support
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,67843
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,43494
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,14197
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,2393
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,399
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,28137
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,19920
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,27808
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,42555
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,32323
LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,431
INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,323166
INTEGRIDADE > FÍSICA > LESÃO CORPORAL,121922
INTEGRIDADE > FÍSICA > MAUS TRATOS,651748
INTEGRIDADE > FÍSICA > TORTURA FÍSICA,56421
INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,477
INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,339492
INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,28035
INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,741131
INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,37822
INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,445868
INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),33472
INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,198220
LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,29624
LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,1668
LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,5724
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,127
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,98
VIDA > FEMINICÍDIO,343
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,247
